oc_jurisdiction_code;oc_company_number;inc_jurisdiction_code;wikirate_number;company_name
th;0105456000015;th;57316;Siam Cement
us_vt;0075084;us_de;49821;Keurig Green Mountain
us_ca;C2478646;us_de;859497;Silicon Graphics International
us_ca;C2235977;us_de;860823;Activision Blizzard
us_ok;1900575772;us_ok;48082;Chesapeake Energy
us_ny;3641591;us_de;48212;Voya Financial
us_mi;606790;us_mi;861719;Wolverine World Wide
us_or;6599310;us_or;861862;Columbia Sportswear
us_mo;FL001413167;us_mo;862712;Energizer
us_co;20011030143;us_nv;57122;DISH Network
us_va;F0273997;us_de;864072;Booz Allen Hamilton
in;L45200MH1926PLC001228;in;1182758;Hindustan Construction Company
in;L70100MH1977PLC019916;in;2637601;Housing Development Finance Corporation
in;L74899DL1960GOI003335;in;2612138;National Buildings Construction Corporation Ltd
in;L26942TN1946PLC000931;in;2916594;india cements
in;L28920MH1919PLC000567;in;56218;The Tata Power Company Limited
fr;340709534;fr;2795827;Oberthur Technologies
fr;306917535;fr;2804076;Seche Environnement
es;19178961;es;2796682;Arje Formacion
ca;3018784;ca;2608674;Stantec Inc
no;997800699;no;967712;KLP
gb;OC326345;gb;2618158;Linklaters LLP
in;L32202KA1949PLC032923;in;1837909;ABB India Ltd
es;28854727;es;2796326;FCC Construccion S.A
gb;01631639;gb;2615917;Logica PLC
fr;702028234;fr;2792915;Groupe Randstad France
gb;00166023;gb;2618148;Invensys plc
do;114920;do;2794749;Cemex Dominicana
au;000251025;au;2615421;Oil Search Ltd
ch;166244;ch;2806401;Swiss Reinsurance Co.
au;074539423;au;2624282;Coffex Coffee Pty Ltd
gb;00578327;gb;2432959;Rotork p.l.c.
es;48541957;es;2801971;Metro Bilbao S.A.
gb;08267815;gb;2608744;ICI Global
za;1939-001730-06;za;2314916;Oceana Group Limited
es;78346582;es;51263;Hitachi Data Systems
gb;06497379;gb;18840;Cadbury
gb;SC108259;gb;2381046;Glasgow Caledonian University
gb;01312454;gb;2624112;Arup Group
se;556587-0028;se;2615834;Transmode Systems AB
ch;231059;ch;2791852;Bedag Informatik AG
fr;411848682;fr;2799623;Logware Informatique
gb;06822392;gb;2432939;Edinburgh International
fi;2508793-1;fi;2792982;Wartsila Corporation
fr;419838529;fr;2605006;Ipsen
es;84105220;es;2793001;INITEC Energia S.A.
gb;OC323571;gb;2432934;Clifford Chance LLP
ch;106419;ch;2805984;LEM Holding SA
no;991258965;no;2796878;Grieg Star Group AS
