company,wikirate_company,status,accept_status,aliases
Positively Organic Skincare,,none,,"positively organic skincare,positivelyorganicskincare"
Pour le Monde Parfums,,none,,"pour le monde parfums,pourlemondeparfums"
Premiere Products Inc.,,none,,"premiere products inc.,ppipremiereproducts"
Pretty Anna Bath and Body,,none,,"pretty anna bath and body,prettyannabathandbody"
Pretty Pretty Pop Pop,,none,,"pretty pretty pop pop,prettyprettypoppop"
Pro-Tec Pet Health,,none,,"pro-tec pet health,protec-pet-health"
Professional Pet Products,,none,,"professional pet products,professionalpetproducts"
Progress In Health,,none,,"progress in health,progressinhealth"
Pure & Basic Products,,none,,"pure & basic products,pureandbasic"
Pure & Gentle Soap,,none,,"pure & gentle soap,pureandgentlesoap"
Pure Anada Natural Cosmetics,,none,,"pure anada natural cosmetics,pureanada"
Pure Chemistry S.A.S.,,none,,"pure chemistry s.a.s.,purechemistryonline"
Purelement Naturals,,none,,"purelement naturals,purelementnaturals"
Purfectly Chic by Kate Johnson,,none,,"purfectly chic by kate johnson,purfectlychic"
Purple Prairie Botanicals,,none,,"purple prairie botanicals,purpleprairie"
MultiFarious Publica Group,,none,,"multifarious publica group,pursuitofcleanliness"
Rainbow Research Corp.,,none,,"rainbow research corp.,rainbowresearch"
Raven's Creek Natural Company,,none,,"raven's creek natural company,ravenscreeksoapco"
"Raw Advantage, Inc.",,none,,"raw advantage, inc.,rawadvantagepetfood"
"Rejuvi Laboratory, Inc.",,none,,"rejuvi laboratory, inc.,rejuvilab"
Renee Rouleau Skin Care,,none,,"renee rouleau skin care,reneerouleau"
Astonishing Developments,,none,,"astonishing developments,revivserums"
Rhone Botanicals,,none,,"rhone botanicals,rhonebotanicals"
RICHFEEL Health and Beauty,,none,,"richfeel health and beauty,richfeel"
RJ Mineral Cosmetics,,none,,"rj mineral cosmetics,rjmineralcosmetics"
Rockstar Cosmetics,,none,,"rockstar cosmetics,myrockstarcosmetics"
Rocky Mountain Soap Company,,none,,"rocky mountain soap company,rockymountainsoap"
Rose-Hip Vital Pty Ltd,,none,,"rose-hip vital pty ltd,therosehipspecialists"
Round Tree Organics,,none,,"round tree organics,roundtreeorganics"
Safe N Beautiful LC,,none,,"safe n beautiful lc,snails child nail polish,safe-nails"
Sanctuary Botanicals,,none,,"sanctuary botanicals,sanctuarybotanicals"
SanDee Professional HD MakeUp,,none,,"sandee professional hd makeup,makeup4show"
SanRe Organic Skinfood,,none,,"sanre organic skinfood,sanreorganic"
Sans Skin Care Without Chemicals,,none,,"sans skin care without chemicals,sansskincare"
Savoir Faire Cosmetics,,none,,"savoir faire cosmetics,sfcosmetics"
Scents of Well Being,,none,,"scents of well being,scentsofwell-being"
Scentsational Soaps,,none,,"scentsational soaps,scentsationalsoapsskincare"
Schmidt's Deodorant,,none,,"schmidt's deodorant,schmidtsdeodorant"
"Scruples Professional Salon Products, Inc.",,none,,"scruples professional salon products, inc.,scrupleshaircare"
Sebona Naturals,,none,,"sebona naturals,sebonanaturals"
Secret Mask by Phytomineralis,,none,,"secret mask by phytomineralis,magicsecretmask"
Seraphina Organics,,none,,"seraphina organics,seraphinaorganics"
SerVaas Laboratories,,none,,"servaas laboratories,barkeepersfriend"
Sexy Healthy Earthy,,none,,"sexy healthy earthy,sexyhealthyearthy"
Shaman Earthly Organics,,none,,"shaman earthly organics,shamanbeauty"
Shear Miracle Organics,,none,,"shear miracle organics,shearmiracleorganics"
SheAyurvedics Skin Care,,none,,"sheayurvedics skin care,sheayurvedics"
Silverwind Herbals,,none,,"silverwind herbals,silverwindherbals"
Simplers Botanical Company,,none,,"simplers botanical company,simplers"
Sir Richard's Condom Company,,none,,"sir richard's condom company,sirrichards"
SIRCUIT® Cosmeceuticals Inc.,,none,,"sircuit® cosmeceuticals inc.,sircuitskin"
Sjolie Tanning Products,,none,,"sjolie tanning products,sjolietanning"
Skin Actives Scientific,,none,,"skin actives scientific,skinactives"
Skin Delicious Body So Fine,,none,,"skin delicious body so fine,bodysofine"
Skincare Revolution,,none,,"skincare revolution,skincarerevolution"
Soap the Earth,,none,,"soap the earth,soaptheearth"
Soapy Soap Company,,none,,"soapy soap company,soapysoapcompany"
Sojourner Farms,,none,,"sojourner farms,sojourner farms natural pet products,sojos"
Sonoma Soap Company,,none,,"sonoma soap company,sonomasoapcompany"
Southern I.Q. Naturals,,none,,"southern i.q. naturals,southerniqnaturals"
Spring Rain Botanicals,,none,,"spring rain botanicals,springrainbotanicals"
St. John's Botanicals,,none,,"st. john's botanicals,stjohnsbotanicals"
Stargazer Natural Products,,none,,"stargazer natural products,stargazernaturals"
Ste. Anne's Skin Nourishment,,none,,"ste. anne's skin nourishment,steannes"
Steel Skin Care for Men,,none,,"steel skin care for men,steelskincare"
Stuff for Sprouts LLC,,none,,"stuff for sprouts llc,stuff4sprouts"
SunCat Natural Mineral Makeup,,none,,"suncat natural mineral makeup,suncatnaturalmineralmakeup"
SunFeather Natural Soap Company,,none,,"sunfeather natural soap company,sunsoap"
Hollender Sustainable Brands,,none,,"hollender sustainable brands,sustaincondoms"
Sweet Pea Products,,none,,"sweet pea products,sweetpeaproducts"
Sweetsation Therapy,,none,,"sweetsation therapy,sweetsationtherapy"
Swiss Clinic Distribution,,none,,"swiss clinic distribution,swissclinic"
Tallulah Jane Natural Perfumes,,none,,"tallulah jane natural perfumes,tallulahjanenyc"
TaUT by Leonard Engelman,,none,,"taut by leonard engelman,tautskincare"
TenderLeaf Natural Products,,none,,"tenderleaf natural products,tenderleafnaturalproducts"
Texas Natural Supply,,none,,"texas natural supply,texasnaturalsupply"
Thank God it's Vegan!,,none,,"thank god it's vegan!,thankgoditsvegan"
The Australian Eucalyptus Oil Company,,none,,"the australian eucalyptus oil company,australianeucalyptusoil"
The Best Deodorant In The World,,none,,"the best deodorant in the world,thebestdeodorantintheworld"
The Buddha Beauty Company,,none,,"the buddha beauty company,buddha-beauty"
The F.C. Sturtevant Company,,none,,"the f.c. sturtevant company,columbiaskincares"
The Grapeseed Company,,none,,"the grapeseed company,thegrapeseedcompany"
The Green Beaver Company,,none,,"the green beaver company,greenbeaver"
The Hive Botanicals,,none,,"the hive botanicals,etsy"
The Holistic Health Co.,,none,,"the holistic health co.,theholistichealthco"
The Holistic Science Co.,,none,,"the holistic science co.,theholisticscienceco"
The Little Alchemist,,none,,"the little alchemist,thelittlealchemist"
The Naked Villain Society,,none,,"the naked villain society,thenakedvillainsociety"
The Rad Kat Organic & Natural Soaps,,none,,"the rad kat organic & natural soaps,theradkat"
The Saint Louis Soap Company,,none,,"the saint louis soap company,stlsoap"
Thursday Plantation,,none,,"thursday plantation,thursdayplantation"
TIANA Fair Trade Organics,,none,,"tiana fair trade organics,tiana-coconut"
Tick Tock Naturals,,none,,"tick tock naturals,ticktocknaturals"
Tiferet Aromatherapy,,none,,"tiferet aromatherapy,tiferetonline"
"Timberwolf Organics, Inc.",,none,,"timberwolf organics, inc.,timberwolforganics"
Total Shaving Solution,,none,,"total shaving solution,totalshavingsolution"
Total Skincare Solutions,,none,,"total skincare solutions,total-skincare-solutions"
Townley,,none,,"townley,townley cosmetics, inc.,townleygirl"
Trader Joe's Company,,none,,"trader joe's company,trader joe's company inc,traderjoes,Trader Joe's"
TRI Hair Care Products,,none,,"tri hair care products,trihaircare"
Trillium Herbal Company,,none,,"trillium herbal company,trilliumorganics"
Tru Fragrance and Beauty,,none,,"tru fragrance and beauty,trufragrance"
Twig and Leaf Botanicals,,none,,"twig and leaf botanicals,etsy"
Pure Rock Mineral Cosmetiques,,none,,"pure rock mineral cosmetiques,u-makeitup"
UltraRadiance by SkinVac MD,,none,,"ultraradiance by skinvac md,skinvacmd"
Uncle Funky's Daughter,,none,,"uncle funky's daughter,unclefunkysdaughter"
Upper Canada Soap & Candle Makers,,none,,"upper canada soap & candle makers,uppercanadasoap"
Velvet & Sweet Pea's Purrfumery,,none,,"velvet & sweet pea's purrfumery,purrfumery"
Veterinary Nutritional Formula,,none,,"veterinary nutritional formula,vnfpetfood"
Vital Earth Traditions,,none,,"vital earth traditions,vitalearthtraditions"
Vitality Institute Medical Products,,none,,"vitality institute medical products,vipeel"
Wachters' Organic Sea Products,,none,,"wachters' organic sea products,wachters"
Waliwa Amazonian Natural Products,Amazon,partial,0,"waliwa amazonian natural products,waliwa"
Warm Earth Cosmetics,,none,,"warm earth cosmetics,warmearthcosmetics"
Watermans Applied Science,,none,,"watermans applied science,watermanssunscreen"
White Lotus Cosmetic Acupuncture,,none,,"white lotus cosmetic acupuncture,cosmeticacupuncture"
Wysong Canada,,none,,"wysong canada,wysong corporation,wysong professional diets,wysong"
Zi Zai Dermatology,,none,,"zi zai dermatology,zizaidermatology"
Zosimos Botanicals LLC,,none,,"zosimos botanicals llc,zosimosbotanicals"
"Natural Balance Pet Foods, Inc.",,none,,"natural balance pet foods, inc.,naturalbalanceinc"
SC Johnson,,none,,"sc johnson,s.c. johnson & sons,naturessourcecleaners"
H&M Hennes & Mauritz AB,H&M,partial,1,"h&m hennes & mauritz ab,hennes & mauritz ab (h&m),h&m hennes & mauritz,hm,Hennes & Mauritz (see H&M)"
Adobe Systems,,none,,"adobe systems,adobe systems incorporated,adobe system incorporated,adobe systems inc.,adobe,Adobe,Adobe Australia"
"Becton, Dickinson",,none,,"becton, dickinson,becton dickinson,becton, dickinson and company (bd),becton, dickinson and company,bd,BD (Becton, Dickinson),Becton, Dickinson (see BD),Becton, Dickinson & Co."
Abercrombie & Fitch,,none,,"abercrombie & fitch,abercrombie & fitch co.,abercrombie,Abercrombie & Kent"
Amore Pet Foods,,none,,"amore pet foods,amorepetfoods,Amore Foods"
Associated British Foods,Associated British Foods plc,partial,1,"associated british foods,abf"
BP,BP,exact,,BP International Limited
LinkedIn,,none,,"Ballande Groupe Australasia,Amesys (part of Bull),Carlos Casado ,GST (Global Sports Technologies),ForesTrade,Suez Steel"
Barilla Holding,,none,,"barilla holding,barilla spa,barillagroup,Barilla Group"
Bayer,Bayer AG,exact,,Bayer AG
Beam,,none,,"beam,beamglobal,Beam Global"
Beiersdorf,,none,,
Benefit Cosmetics,,none,,"benefit cosmetics,benefitcosmetics,BeneFit Cosmetics"
Bonne Bell,,none,,"bonne bell,bonnebell,Bonne Bell Australia"
Microbroo LLC,,none,,"microbroo llc,broo"
Brown-Forman,,none,,
Chi Chi Cosmetics,,none,,"chi chi cosmetics,chichicosmetics"
Diageo,,none,,"Diageo plc,Diageo Australia"
Dr. Bronner's Magic Soaps,,none,,"dr. bronner's magic soaps,drbronner,Dr Bronner's Magic Soaps"
ecostore,,none,,Ecostore
Elizabeth Arden,,none,,
Ere Perez Natural Cosmetics,,none,,"ere perez natural cosmetics,ereperez,Ere Perez"
Fruit of the Earth,,none,,"fruit of the earth,fote"
H & M Hennes & Mauritz AB,H&M,partial,1,H&M Australia
Hanesbrands,,none,,
Inditex,Inditex,exact,,
Inika Mineral Cosmetics,,none,,"inika mineral cosmetics,inika,Inika Cosmetics"
Jarden,,none,,
Paul Mitchell Systems,,none,,"paul mitchell systems,paulmitchell,John Paul Mitchell Systems"
"Holistic Skin Care, Inc.",,none,,"holistic skin care, inc.,jurlique pure skin care,jurlique"
Kora Organics,,none,,"kora organics,koraorganics,KORA Organics by Miranda Kerr"
Kao Corp,,none,,"kao corp,kao,Kao Corporation"
Kering,Kering,exact,,"Kering Luxury,PPR (formerly Pinault-Printemps-Redoute)"
LVMH Moet Hennessy Louis Vuitton,Louis Vuitton,partial,1,"LVMH Moët Hennessy • Louis Vuitton S.A.,LVMH,Moet Hennessy Australia"
Lee Pharmaceuticals,,none,,"lee pharmaceuticals,leepharmaceuticals"
Nature's Country Pet,,none,,"nature's country pet,nature's gate,natures-gate,Levlad"
Markwins International,,none,,"markwins international,markwins"
Metcash,,none,,
"Method Products, Inc.",,none,,"method products, inc.,methodhome,Method"
ModelCo,,none,,"modelco,modelcocosmetics"
Mondi,,none,,"mondi,mondigroup"
Montagne Jeunesse,,none,,"montagne jeunesse,montagnejeunesseusa"
Naturopathica,,none,,
Nestle,Nestle,exact,,
NIKE,Nike Inc.,partial,1,Nike
ONE Group,Vodafone Group Plc,partial,0,"one group,mionegroup,ONEgroup,Formula One Group"
OSRAM Licht,,none,,"osram licht,osram,Osram"
PVH,,none,,"PVH Corp.,Phillips-Van Heusen,PVH (see Phillips-Van Heusen)"
Parmalat,,none,,
People for Plants,,none,,"people for plants,peopleforplants"
Physicians Formula,,none,,"physicians formula,physiciansformula"
Prada,,none,,Prada Holding
Prestige Cosmetics,,none,,"prestige cosmetics,prestigecosmetics"
Progressive,,none,,"Progressive Insurance,Progressive Enterprises"
Reckitt Benckiser,,none,,"reckitt benckiser,airwick"
SABMiller,SABMiller,exact,,
Sanofi,,none,,Sanofi S.A.
Seventh Generation *,,none,,"seventh generation *,seventhgeneration,Seventh Generation"
Stila Cosmetics,,none,,"stila cosmetics,stilacosmetics"
TOM Organic,,none,,"tom organic,tomorganic"
Tata Motors,Tata Steel,partial,2,"tata motors,tata,Tata Group,Titan Industries (joint venture Tata Group & Tamil Nadu Industrial Development Corporation)"
Total,Total S.A.,partial,1,Total SA
Tyson Foods,Tyson Foods,exact,,"tyson foods,tyson"
UPM-Kymmene,,none,,"upm-kymmene,upm,UPM"
VF,,none,,"vf,vfc,VF Corporation,VF Corp"
Wesfarmers,,none,,
Yes to Carrots,,none,,"yes to carrots,yestocarrots,Yes To"
Youngblood Mineral Cosmetics,,none,,"youngblood mineral cosmetics,ybskin"
Zuii Organic,,none,,"zuii organic,zuiiorganic"
Freeman Beauty,,none,,"freeman beauty,ph beauty labs,freemanbeauty,pH Beauty Labs"
Levi Strauss & Co.,Levi Strauss & Co.,exact,,Levi Strauss
Zijin Mining Group,,none,,"zijin mining group,zjky,Zijin"
Grupo Argos,,none,,"grupo argos,argos,Cementos Argos"
Coal India,,none,,"coal india,coalindia,Coal India (CIL)"
Twitter,,none,,"Unibanco (now Itaú Unibanco),Twitter Australia"
The Co-operative Group,,none,,"Co-operative Bank ,Co-operative Group"
Ooredoo Telecom,,none,,"ooredoo telecom,qtel,Ooredoo"
LukOil,,none,,Lukarco (joint venture Lukoil & Arco)
Japan Tobacco,,none,,"japan tobacco,jti,Japan Tobacco International"
Seiko Epson,,none,,"seiko epson,epson,Seiko"
NMDC,,none,,National Mineral Development Corporation (NMDC)
Daimler,,none,,DaimlerChrysler (now Daimler)
Indian Oil,,none,,"indian oil,iocl,Indian Oil Corporation"
Macy's,,none,,"macy's,federated-fds,Federated Department Stores (now Macy's)"
CRH,,none,,"CRH plc,CRH (Cement Roadstone Holdings)"
"Freescale Semiconductor, Inc.",,none,,"Freescale,Freescale Semiconductor"
Unum Group,,none,,"unum group,unum,UnumProvident"
ICICI Bank,,none,,"icici bank,icicibank,ICICI"
Prudential,,none,,Prudential plc
Sompo Japan Insurance Inc.,,none,,Sompo Japan
DR Horton,,none,,"dr horton,drhorton,D.R. Horton"
Enbridge,,none,,Enbridge Energy Partners
SK Holdings,,none,,"sk holdings,sk,SK Corporation"
Lorillard,,none,,Lorillard Tobacco
Inter Rao,,none,,"inter rao,interrao,RAO-UES"
B Never Too Busy to Be Beautiful,,none,,"b never too busy to be beautiful,camaru naturals skin care,empório provence aromatiques,junoon ventures,oshunra naturals,partly sunny by susan grace,quetzalycolibri,rocking label,facebook, inc.,facebook,Piedra del Águila,Leslie Davis ,F&C Asset Management,Avalon,Facebook"
FirstRand,,none,,FirstRand Group
Vale,Valentino SpA,partial,0,Companhia Vale do Rio Doce (now Vale)
Newman’s Own Organics,,none,,"newman’s own organics,newmansownorganics,Newman's Own,Newman's Own Organics"
NHPC,,none,,"nhpc,nhpcindia,NHPC (National Hydroelectric Power Corporation - India)"
Grupo Bimbo,,none,,"grupo bimbo,gibsa,Bimbo"
Bank Leumi,,none,,"bank leumi,bankleumi,Leumi"
Fujitsu,Fujitsu Ltd.,partial,1,"Fujitsu Limited,Fujitsu Technology Solutions"
AT&T,AT&T Inc.,partial,1,"at&t,att,BellSouth (now AT&T),SBC Communications (now AT&T),Cingular Wireless (now AT&T)"
LKQ,,none,,"lkq,lkqcorp,LKQ Corporation"
Doosan,,none,,"doosan,doosancorp,Doosan Group"
Sony,Sony Corporation,exact,,"Sony Corporation,Sony Ericsson (joint venture Sony & Ericsson),Sony Corp."
Alcoa,,none,,Alcoa Inc.
Huntsman,,none,,Huntsman Corp.
Saint-Gobain,,none,,Saint-Gobain Corp.
Archer-Daniels-Midland,Archer-Daniels-Midland,exact,,"Archer Daniels Midland,Archer Daniels Midland Co. (ADM)"
Goodyear,,none,,Goodyear Tire & Rubber Co.
Celanese,,none,,Celanese Corp.
Tesoro,Tesoro Corporation,partial,1,"tesoro,tsocorp,Tesoro Corp."
Boeing,,none,,"The Boeing Company,Boeing Co."
International Paper,,none,,"international paper,international paper company,internationalpaper,Temple-Inland,International Paper Co."
Hess,,none,,"Hess Corporation,Hess Corp."
Acer,Acer Inc.,exact,,Acer Inc.
Amazon.com,amazon,exact,,"amazon.com,amazon"
CA,C&A,exact,0,"C&A,CA Pacific"
Canon,Canon Inc.,partial,1,
Dell,Dell Inc.,exact,,"Dell Inc.,Dell, Inc.,Perot Systems"
Garmin,,none,,Garmin Ltd
Hitachi,"Hitachi, Ltd.",exact,,"Hitachi, Ltd."
LG Corp,LG Corporation,partial,1,"lg corp,lg"
Lenovo Group,Lenovo Group Ltd.,partial,1,Lenovo
Nikon,,none,,
NVIDIA,,none,,"Nvidia Corporation,Nvidia"
Panasonic,Panasonic,exact,,Sanyo
SAP,,none,,"SAP SE,SAP Australia"
